1.14,-0.114,1.1856,-1
-1.52,-1.15,1.1604,1
-1.05,0.72,1.8225,-1
-0.916,0.397,1.236056,1
-1.09,0.437,1.6251,1
-0.584,0.0937,0.434756,1
1.83,0.452,3.8009,-1
-1.25,-0.286,1.2765,1
1.7,1.21,4.1,1
-0.482,-0.485,-0.252676,1
1.79,-0.459,2.7451,-1
-0.122,-0.808,-0.793116,-1
0.0809,1.93,1.93654481,1
-0.541,-0.332,-0.039319,1
-1.02,0.619,1.6594,-1
-0.768,-1.04,-0.450176,-1
-1.69,-0.0461,2.81,1
1.26,1.21,2.7976,1
0.724,0.989,1.513176,-1
0.444,1.99,2.187136,-1
-1.01,-1.36,-0.3399,-1
-0.863,0.496,1.240769,1
1.16,-0.458,0.8876,1
-0.595,-0.651,-0.296975,1
-0.77,0.364,0.9569,1
-0.871,-0.825,-0.066359,1
0.996,-1.7,-0.707984,1
1.28,0.691,2.3294,-1
0.925,0.895,1.750625,-1
-0.687,-1.29,-0.818031,-1
1.74,0.964,3.9916,1
1.18,-0.335,1.0574,1
2.52,1.43,7.7804,1
1.71,-0.044,2.8801,-1
0.271,-0.591,-0.517559,1
1.12,0.626,1.8804,-1
1.3,0.196,1.886,-1
-1.59,-0.68,1.8481,1
0.408,0.0673,0.233764,1
1.13,1.48,2.7569,-1
0.763,0.921,1.503169,-1
-1.41,1.11,3.0981,-1
-0.75,-0.881,-0.3185,-1
1.16,0.978,2.3236,-1
1.13,0.405,1.6819,-1
-0.522,-1.34,-1.067516,-1
-1.41,0.894,2.8821,-1
0.00902,-0.434,-0.43391864,1
-2.14,-1.43,3.1496,1
-1.31,1.25,2.9661,-1
0.041,-1.13,-1.128319,-1
0.0483,0.866,0.86833289,-1
-2.11,0.193,4.6451,-1
0.522,1.46,1.732484,-1
0.0284,1.62,1.62080656,-1
0.396,-0.606,-0.449184,1
0.536,0.921,1.208296,-1
0.315,-0.182,-0.082775,1
-0.123,-1.07,-1.054871,-1
0.526,1.48,1.756676,-1
0.00665,0.0118,0.011844223,1
-0.352,-0.49,-0.366096,1
-0.0701,-1.23,-1.22508599,-1
-0.149,-1.2,-1.177799,-1
0.785,0.0481,0.664325,1
-1.62,0.593,3.2174,-1
-0.0314,-1.01,-1.00901404,-1
-0.285,-1.1,-1.018775,-1
1.33,1.51,3.2789,1
1.09,-1.37,-0.1819,1
-0.223,-1.28,-1.230271,-1
-0.0341,-1.07,-1.06883719,-1
1.22,1.13,2.6184,-1
-1.67,-1.26,1.5289,1
1.97,-0.772,3.1089,-1
-0.508,-0.715,-0.456936,1
0.603,-0.108,0.255609,1
-0.323,-0.213,-0.108671,1
-0.124,-1.12,-1.104624,-1
-0.439,-0.961,-0.768279,-1
0.201,0.0024,0.042801,1
0.812,0.708,1.367344,-1
0.888,0.817,1.605544,-1
0.0238,0.0836,0.08416644,1
0.415,-1,-0.827775,-1
-0.308,2.19,2.284864,1
0.767,-0.248,0.340289,1
1.23,-1.2,0.3129,1
1.33,1.63,3.3989,1
0.27,0.0491,0.122,1
-1.69,-1.87,0.9861,1
0.495,-0.281,-0.035975,1
-0.519,-0.799,-0.529639,-1
-1.99,0.549,4.5091,-1
1.36,-0.732,1.1176,1
-1.03,0.654,1.7149,-1
0.431,-1.33,-1.144239,-1
-0.0583,-1.15,-1.14660111,-1
-0.209,0.345,0.388681,1
1.26,-1.37,0.2176,1
-1.78,-0.378,2.7904,1
0.98,-0.0439,0.9165,1
-0.0536,1.6,1.60287296,-1
-1.39,-0.451,1.4811,1
1.22,-0.361,1.1274,1
1.22,0.561,2.0494,-1
-0.838,0.356,1.058244,1
-0.446,-0.861,-0.662084,-1
1.17,-1.39,-0.0211,1
-0.0868,-1.33,-1.32246576,-1
-1.12,0.576,1.8304,-1
-0.28,-1.3,-1.2216,-1
-0.0269,0.958,0.95872361,1
-0.697,1.35,1.835809,-1
1.38,-1.74,0.1644,1
0.408,1.16,1.326464,-1
1.2,1.54,2.98,1
2.07,1.02,5.3049,1
-0.462,-0.187,0.026444,1
1.27,0.589,2.2019,-1
-0.101,-0.765,-0.754799,-1
-0.819,1.26,1.930761,-1
0.615,-0.0228,0.355425,1
-1.79,-0.98,2.2241,1
-1.79,-0.954,2.2501,1
0.826,1.5,2.182276,1
0.845,0.766,1.480025,-1
-0.476,-1.49,-1.263424,-1
1.01,0.48,1.5001,-1
1.39,-0.376,1.5561,-1
0.357,-1.07,-0.942551,-1
0.77,1.4,1.9929,-1
-1.08,0.114,1.2804,1
-0.795,-1.43,-0.797975,-1
0.706,1.38,1.878436,1
-1.26,0.23,1.8176,1
-0.833,-0.569,0.124889,-1
-0.0303,2.11,2.11091809,-1
-0.223,-0.419,-0.369271,1
-0.562,-0.873,-0.557156,-1
0.926,0.972,1.829476,-1
-1.86,-1.57,1.8896,1
-0.806,0.941,1.590636,-1
-0.214,0.38,0.425796,1
0.744,1.42,1.973536,1
1.94,-0.65,3.1136,-1
1.77,1.35,4.4829,1
